,28753
all,662
since,173
consider,16
caused,24
lack,56
month,44
four,33
prices,18
code,28
sleep,42
hanging,20
follow,132
captain,24
hate,38
children,18
forget,9
whose,12
tx,9
ty,14
paris,12
30min,8
switched,19
seriously,80
thursday,14
to,8556
aus,18
program,21
wants,11
saw,28
under,43
sorry,100
worth,28
started,25
paying,46
flyingitforward,12
roc,8
premium,16
ok,103
returning,13
compassion,10
checkin,38
saved,8
every,117
updates,42
fam,11
awful,60
ticket,255
difference,20
bringing,15
strand,8
tickets,127
school,14
cmh,18
t5,9
list,43
solution,17
large,13
republican,9
red,16
small,29
provided,20
pbi,17
heading,14
clothes,36
enjoy,20
tired,23
till,17
phones,30
consistent,9
somewhere,15
direct,86
past,69
likely,18
fabulous,9
summer,13
layover,32
wouldn,53
further,14
estimated,11
returned,13
blue,47
what,805
errors,12
pts,9
anniversary,8
abq,9
run,44
above,17
snowing,8
upset,38
new,268
learned,9
poorly,11
ever,242
method,9
told,267
hasn,30
full,91
deplane,13
rebooked,136
unprofessional,15
never,319
answers,31
hundreds,11
hours,666
met,16
shouldn,35
unitedsucks,10
100,54
kudos,30
daughter,28
ahead,17
luggage,262
items,14
employees,85
changed,67
experience,202
sju,14
credit,118
airport,342
americanair,2808
within,16
pick,52
military,14
slc,15
changes,52
midway,10
flyfi,12
fantastic,20
via,108
depart,27
family,88
va,10
explained,10
reagan,9
treatment,16
tracking,18
brought,9
patience,17
yyz,14
perhaps,15
total,22
with,1507
heathrow,12
wanted,50
trueblue,18
spoke,32
would,555
answered,21
destination,64
finally,125
suit,9
call,510
until,115
passport,8
6,162
taken,44
weren,22
type,14
tell,144
minor,12
more,393
flat,8
expedia,8
door,28
knows,25
flighting,43
company,85
haha,30
award,39
aware,12
99,11
excuse,22
landed,80
warm,24
basically,11
broke,20
excellent,28
known,16
90,29
hold,638
glad,50
must,36
me,1903
none,24
window,25
word,31
room,48
hour,478
points,57
work,234
sucks,56
cant,43
pr,16
den,56
learn,29
my,3235
example,15
history,9
beautiful,14
embarrassing,10
give,168
share,34
updated,23
accept,14
dragons,18
states,13
prompt,14
woman,15
numbers,16
point,71
scavenger,8
airplane,23
david,10
absolute,22
huge,36
needs,78
end,53
advantage,15
carriers,10
provide,43
travel,239
sitting,193
nuts,12
feature,12
how,647
amazing,98
hou,8
neveragain,27
front,34
answer,104
gate,512
beach,11
charging,22
csr,8
badly,9
flightlations,40
ft,9
plans,39
rude,135
bday,16
velourlive,8
advice,9
earlier,93
loyalty,12
fa,15
fb,10
plane,635
lax,151
ff,8
coming,71
fi,12
lap,9
response,204
southwestair,2461
las,52
a,153
purchase,39
refuse,18
short,28
attempt,18
third,16
roundtrip,9
coat,9
appreciate,115
departure,92
anytime,9
baggage,228
responsibility,8
lhr,14
enter,16
fan,17
1000,8
dream,8
order,23
operations,8
nyc,76
infant,16
feedback,27
office,23
over,395
fall,8
soon,66
playing,8
held,32
attitude,28
paper,12
london,15
hell,21
its,131
gg8929,8
before,206
24,82
25,69
26,12
27,18
20,118
21,23
22,26
23,29
personal,19
cle,14
fix,94
sale,11
28,13
denver,83
crew,230
better,181
ruining,16
bummer,9
400,13
clt,100
peanuts,11
weeks,76
nothappy,14
might,73
easier,12
tv,45
eventually,16
coffee,18
evening,28
affected,10
than,243
food,74
inspired,8
worked,26
vouchers,29
break,16
band,8
okc,11
shameful,11
they,760
st,19
traveled,11
rental,18
complain,13
bank,24
easily,13
several,34
stated,9
notified,17
always,106
unhelpful,23
2x,12
rocks,11
voucher,107
someone,240
stopped,14
ya,13
reasonable,8
each,50
found,81
went,70
meal,22
luck,35
week,120
everyone,87
jetway,15
rerouted,10
tsa,45
house,12
hare,14
hard,58
idea,57
used,64
dia,14
ball,12
connect,26
acct,11
2day,10
portland,10
beyond,40
event,16
really,299
rt,95
leave,105
missed,130
driving,15
god,20
tried,145
phl,123
re,373
yep,18
safety,39
7,111
smh,20
print,15
got,459
issue,149
twice,67
ass,10
assist,23
pathetic,21
unfriendlyskies,10
friday,31
little,66
free,132
standard,8
pleasant,15
reason,74
3hrs,11
term,8
members,34
imagine,19
ask,49
sadly,10
attendant,89
hand,15
storm,36
wall,31
bumped,25
bring,46
service,959
atl,41
computers,14
messages,11
days,222
round,33
lousy,9
american,77
000,29
expecting,12
isn,96
iad,66
scheduled,59
moving,23
raleigh,12
pilots,48
onto,22
top,36
major,22
already,179
dont,35
simply,15
feel,55
relate,18
number,241
hearing,12
feet,14
hook,9
done,130
hangs,25
another,267
fees,44
traveler,24
miss,158
passes,18
guess,62
heads,9
jet,51
together,66
dfw,156
silver,15
least,87
needed,49
wonderful,29
overhead,29
listed,12
passed,13
tea,10
rates,9
inconvenient,10
john,8
listen,10
attendants,55
rewards,15
option,70
hotel,146
took,90
luckily,8
part,36
wasted,20
shortly,9
believe,55
1k,34
boarding,184
kind,36
legs,10
showed,14
stl,14
double,15
thx,104
rate,18
seated,9
charges,10
ktn,9
street,21
friend,60
feeling,13
dtw,8
priority,34
charlotte,65
uncomfortable,9
outstanding,13
ran,12
boston,91
pass,93
mind,26
mine,30
livery,8
return,70
sit,70
contest,12
cleaned,8
seen,35
seem,41
mins,125
mint,16
tells,22
flighted,222
sell,18
lie,19
cowboycerrone,9
speaking,18
outbound,10
zero,36
self,9
snow,79
also,133
causing,11
chairman,16
doors,11
obviously,13
finding,14
flts,10
club,44
even,290
777,9
added,20
philadelphia,22
exec,10
buf,14
inconvenience,30
reach,47
gt,102
most,80
75,27
abc,8
experiences,13
plan,29
letter,27
70,13
nothing,156
accepting,9
extremely,32
unavailable,12
reimbursement,11
7am,13
reward,13
don,464
tpa,12
mobile,31
clear,21
cover,25
dog,14
definitely,22
overnight,30
clean,14
sun,12
carrieunderwood,13
charged,36
annoyed,8
came,33
reserve,9
advisory,25
ugh,18
golf,10
contacted,14
departing,20
meetings,10
accommodations,8
fingers,21
reschedule,37
fine,39
find,154
current,22
busy,49
flightd,25
merger,23
explain,34
original,36
vacation,74
hrs,225
haven,95
penalty,8
failed,26
flights,644
flightr,162
pretty,42
folks,28
announce,10
two,217
sure,176
11,78
his,83
hit,10
loved,19
express,9
stop,97
dc,53
preferred,19
cheaper,13
feels,13
rest,13
despite,32
report,30
during,59
nasty,11
him,64
unfortunately,32
virginatlantic,10
earn,13
resolve,21
officially,14
remove,8
bay,8
bag,490
bad,183
common,8
faa,12
boarded,47
gotta,16
thanks,1063
insane,13
set,37
disaster,15
fair,19
frustration,12
throwing,8
rescheduling,12
pushed,8
see,265
decided,9
are,1088
sea,19
horrendous,8
fail,97
miserable,10
best,190
03,8
00,14
said,177
matter,28
lots,31
away,76
leg,42
please,565
upgraded,17
fans,8
future,40
hopefully,43
probably,37
nope,30
supposed,89
available,110
we,1278
omg,17
responses,10
missing,113
sold,17
nashville,42
however,27
aadvantage,10
aircraft,33
rapid,10
here,289
chances,14
wth,8
news,30
pissed,12
improve,14
both,71
c,42
providing,14
last,303
pdx,18
country,31
ill,9
barely,8
gotten,18
connection,152
8am,10
reply,74
mean,55
com,16
asked,65
load,30
pre,33
waive,12
tough,15
headed,20
reasons,10
seems,57
others,27
whatever,10
2nd,48
karen,8
agents,156
upgrades,20
diff,17
trust,16
expensive,18
speak,93
conference,10
fra,8
raise,15
swa,53
help,864
add,83
been,859
quickly,16
much,226
damn,22
interest,8
expected,23
waited,58
lovely,19
meeting,21
incompetent,17
empty,46
pm,39
mco,49
life,57
flight,3887
mci,10
eastern,8
wet,12
waterbury,9
great,333
catering,20
kids,66
understand,99
lauderdale,13
child,30
catch,26
aviation,10
wedding,15
sad,36
bna,32
diverted,10
applied,13
handling,15
look,100
fleek,152
talking,21
frozen,13
straight,16
routes,21
air,142
dept,18
near,13
suppose,16
skies,12
itinerary,24
error,52
fun,34
fleet,152
balance,10
leaves,18
mistake,21
resolved,25
aa,204
bos,96
cont,9
hoping,53
mexico,22
is,2804
it,2386
disappointing,18
shame,15
fortunemagazine,12
im,56
conf,27
in,2567
ready,40
seattle,20
id,31
if,620
result,8
funny,21
damaged,16
anymore,27
prior,14
wondering,20
philly,56
make,310
amount,16
who,226
any,437
read,36
complaints,26
split,8
supervisor,42
grand,8
9,82
ewr,98
advise,15
sat,57
showing,28
day,328
higher,12
arrives,18
forced,26
bonus,8
assignment,9
social,29
hang,30
yesterday,107
alert,10
usually,20
moment,12
flown,37
arrived,56
characters,15
sjc,10
reservations,71
opportunity,11
thoughts,10
recent,12
canned,10
lower,9
til,13
kept,25
worstairlineever,8
programs,8
rules,16
try,89
dallas,87
redeem,16
honor,17
tho,20
person,107
contact,94
services,32
mother,16
claims,10
the,5990
800,63
corporate,16
spend,29
left,178
1hr,26
things,61
appease,19
departed,10
just,965
from,1190
yea,12
photo,14
laptop,11
wednesday,18
assigned,13
shocked,8
human,45
amp,675
followed,25
yes,238
yet,154
down,137
previous,17
letting,27
adding,18
cut,21
unable,32
disappointed,100
workers,11
alternate,13
had,506
cuz,9
shout,12
ahold,8
parents,9
board,111
easy,38
cun,13
fares,21
has,473
excited,27
hates,8
gave,73
bin,10
customers,183
australia,10
march,28
emergency,18
big,72
couple,16
online,198
possible,63
tmrw,21
possibly,15
game,18
biz,12
bit,28
apart,9
59,10
d,88
55,14
hunt,10
orlando,38
50,77
heart,11
disconnects,9
continue,17
steps,9
night,150
hung,89
security,22
fault,41
towards,9
carryon,9
phlairport,20
old,83
often,13
deal,47
people,288
absolutely,30
some,193
back,521
dead,13
oh,87
b4,15
understood,11
experienced,19
palm,14
sight,9
curious,8
usairways,3045
delivered,36
for,3952
notification,22
decision,10
though,93
a320,14
ice,35
newark,65
everything,54
icy,9
asking,46
connecting,88
select,25
denied,19
cnn,9
epic,8
booking,147
t,8
somehow,11
be,1198
columbus,17
knew,31
patient,17
ba,9
bc,69
300,13
marketing,12
payment,10
costumer,9
plz,28
refused,20
discount,11
step,17
departures,9
bs,24
losing,35
feb,35
article,8
plat,9
super,41
by,387
takes,32
msy,10
8pm,8
sfo,128
dollars,17
months,43
dmed,15
o,31
deserves,14
dinner,10
plus,57
afternoon,30
positive,10
own,56
complimentary,9
wanna,14
automatically,14
repair,9
whats,12
plenty,17
lied,11
wasting,14
intl,17
into,161
honeymoon,12
ppl,32
accommodate,17
lies,19
because,319
lesson,11
next,233
travels,10
east,13
mke,12
rows,11
story,23
spending,13
treated,30
support,40
initial,8
question,65
long,181
fight,14
avail,15
fucking,22
unitedfail,8
way,348
crews,15
forward,50
music,18
was,1583
twitter,81
etc,18
head,14
toward,8
elsewhere,9
form,45
offer,67
recommend,8
landing,59
mileageplus,17
failure,23
heat,8
properly,12
link,67
delta,107
alliance,9
line,179
stand,12
true,31
fort,14
info,145
responding,29
happen,41
inside,18
access,38
up,734
us,669
ruined,25
epicfail,12
complaint,47
uk,18
planes,94
ua,61
email,236
say,113
yelled,8
150,16
promises,8
disgrace,8
stick,10
m,710
cleveland,9
listening,20
doesn,167
drive,43
somebody,10
single,22
promised,17
chat,8
paperwork,8
americanairlines,28
check,300
shit,32
nj,10
tix,30
floor,13
flightations,12
nah,10
nc,17
when,642
reimbursed,12
power,22
excuses,9
kp,11
statement,9
holding,41
department,19
tech,11
realize,13
nice,133
picture,12
exp,9
phoenix,26
gross,8
put,141
why,599
felt,12
problems,200
update,109
helpful,103
helping,43
lufthansa,8
public,13
allowing,14
professional,14
reservation,164
song,12
replacement,8
weekend,33
meals,9
ago,131
land,31
longer,61
apology,48
phone,426
age,9
required,9
svc,23
daily,17
responded,12
loyal,52
safe,24
time,785
far,76
reroute,11
surprised,14
buffalo,17
hello,33
profits,9
once,69
coach,18
managed,8
saying,64
issued,15
global,14
stupid,8
existing,10
manager,12
mile,9
notify,10
per,21
served,8
go,309
tweeted,8
issues,123
row,57
certainly,11
pax,12
gold,32
zone,8
concerned,13
father,10
disgusting,16
send,96
0,20
charge,68
compensate,21
tampa,16
pay,134
include,10
friendly,33
sent,188
southwest,96
fly,375
confirmation,69
icing,10
3am,8
outside,18
continues,10
keeping,23
schedule,34
choice,26
tarmac,84
vegas,88
additional,17
sunny,10
airfare,11
telling,58
specific,12
trouble,25
exact,11
minute,55
cool,63
timely,11
entire,45
level,16
did,329
turns,10
brother,15
wait,317
deals,19
item,17
walked,9
trips,19
congrats,17
team,110
quick,51
guy,46
spent,47
ride,27
yall,32
talked,22
says,149
dealing,29
sign,27
jump,9
staralliance,8
cost,58
video,21
traveling,60
picked,20
takeoff,24
pls,65
rough,8
drinks,15
south,20
turn,20
3x,8
stressful,8
appear,8
chicago,86
giving,35
bdl,13
assistance,54
airways,84
availability,8
cell,12
consistently,8
waiting,366
unreal,11
goes,31
using,68
international,55
staff,186
options,53
bird,16
filled,18
can,1642
transportation,8
degree,8
exchange,8
funeral,24
mr,9
commercial,11
water,32
snack,10
let,231
web,26
address,44
alone,18
along,18
appears,12
change,308
suggest,10
rdu,33
passengers,188
39,9
credits,11
receive,24
32,12
30,180
36,15
35,24
leaving,78
queue,11
existent,9
makes,63
delays,150
thats,12
love,244
apple,9
extra,97
win,22
app,108
manage,10
private,9
sincerely,8
fraud,11
names,9
1st,99
apply,15
route,32
post,25
hotels,12
standing,19
terminal,60
use,151
fee,72
crap,13
handled,20
certificate,12
chi,10
angry,20
snacks,15
visit,20
msp,11
few,62
live,41
doubt,9
iphone,17
https,56
save,17
msg,13
thru,57
today,427
ladygaga,12
sharing,11
upcoming,10
afford,13
suggestions,15
acceptable,23
getting,240
sister,20
clue,16
fuel,15
train,20
ashamed,10
8,120
baby,28
central,9
effort,12
customer,750
account,73
anything,135
laguardia,11
dfwairport,16
car,67
originally,13
clients,8
flt,147
poorservice,10
anywhere,27
crossed,20
fll,62
following,36
cab,14
arrive,54
didnt,12
something,89
control,31
claim,95
crazy,33
reserved,8
purchased,19
figure,39
do,915
nexus,8
awesome,121
sense,32
fuck,19
agent,259
high,40
heard,56
dm,271
pulling,8
dropped,23
allowed,35
sound,10
counting,51
legroom,14
jetblue,2394
united,4163
usair,48
lame,11
get,1332
lounge,32
located,12
sunday,42
winners,11
pair,10
unitedairlines,46
instead,99
guarantee,12
stroller,8
nonstop,20
economy,15
fare,36
unbelievable,20
de,22
140,11
information,54
may,68
reps,32
incompetence,17
spot,8
them,251
disgusted,9
4th,9
mad,18
date,39
such,55
suck,48
coast,10
guys,374
man,28
stress,9
remember,16
whenever,10
light,9
wheelchair,12
counter,42
lines,28
2hrs,21
rather,43
switch,37
ones,17
honestly,10
allow,35
furious,8
sf,15
bins,8
refund,146
houston,63
serving,9
seeing,13
move,26
midnight,18
unacceptable,89
years,46
course,28
130,9
including,10
looks,64
cold,34
still,581
onboard,21
bunch,8
perfect,15
1,345
disconnect,8
garbage,10
la,47
interesting,9
ll,263
hot,16
emails,22
lt,39
offers,11
degrees,9
choose,19
travelers,21
2015,38
mail,25
main,16
selfie,8
pending,8
happened,55
dad,12
non,48
usa,17
emailed,20
cust,55
3,419
dal,23
auto,21
questions,21
practice,8
flew,46
interview,12
half,73
not,1568
sorted,8
now,1028
terrible,104
discuss,11
nor,10
state,12
love_dragonss,10
10pm,10
toddler,8
airports,24
name,97
locator,12
january,8
times,175
didn,200
tues,8
merge,10
weather,312
rock,32
earned,11
r,8
retrieve,11
doing,78
receipt,23
700,13
yeah,44
flightly,9
year,99
okay,40
80,11
morning,165
spiritairlines,8
special,21
out,718
canada,9
living,9
shown,8
3rd,29
entertainment,25
res,15
rep,96
sna,13
looking,111
mess,27
rebook,122
stuff,24
imaginedragons,46
internet,19
cause,36
correct,41
announced,14
shows,26
website,157
after,467
impressed,21
million,10
completely,36
flyer,27
california,11
york,12
usual,12
bwi,53
ord,120
card,83
care,150
advance,14
training,17
tweeting,20
couldn,95
thankyou,14
standby,50
yup,8
could,248
florida,17
wrong,76
honest,15
thing,70
birthday,31
place,43
24hrs,11
yr,28
hence,9
charleston,8
promotion,9
austin,40
think,157
frequent,24
first,268
respond,43
flying,314
saving,9
revenue,9
spoken,8
one,569
wsj,15
fast,18
directly,13
carry,52
impossible,19
message,72
drove,11
open,98
tomorrow,309
size,11
airbus,8
city,46
given,59
management,13
checked,120
iah,57
quality,14
stuck,172
fl,26
winter,33
system,146
relations,32
inflight,21
anyone,115
their,205
2,886
carousel,15
ton,8
destinationdragons,83
final,20
cabin,37
gives,34
eyes,8
gear,11
that,1714
pittsburgh,10
explanation,25
exactly,17
huh,8
ridiculous,89
too,239
copy,8
elite,14
appreciated,41
boyfriend,8
ipad,15
10,185
13,18
12,57
15,106
14,19
17,22
16,20
19,24
18,20
bother,19
transferred,12
submitted,26
compensation,36
delay,300
maybe,77
happy,90
bet,13
pvd,12
and,3697
false,10
san,79
sw,48
premier,20
turned,19
comfortable,8
tonight,162
medical,9
flytpa,9
rent,9
have,1636
close,22
need,551
won,176
breakfast,9
sky,10
apparently,38
clearly,19
complete,31
screw,18
offering,28
min,183
mia,36
answering,33
able,118
mid,8
battles,18
note,27
equipment,21
concerns,8
take,263
which,105
bus,20
so,891
operated,8
wonder,19
switching,9
200,57
begin,12
mileage,31
multiple,33
normal,12
track,12
price,40
expires,9
paid,94
talk,89
hawaii,16
courtesy,15
connected,12
but,1231
device,8
america,19
expired,17
class,126
police,9
volume,24
forever,18
especially,22
notifications,10
nobody,16
stranded,84
request,50
hungry,8
face,11
looked,12
tweet,76
absurd,13
mechanical,68
hear,57
reflight,53
wow,46
fact,35
son,26
currently,44
shot,15
bluemanity,8
show,84
30pm,11
text,19
filed,23
cheap,17
anyway,28
watch,26
elevate,10
planning,13
saturday,26
ripoff,11
callback,18
ground,86
partners,8
slow,20
based,15
jax,8
hadn,8
flightlation,34
behind,26
incident,9
should,330
jan,13
only,332
going,318
black,11
employee,38
watching,17
posted,13
local,9
hope,135
meant,11
handle,36
closed,28
means,36
hostage,10
between,45
freezing,18
lucky,10
truly,16
upgrade,101
cannot,51
nearly,14
words,16
freaking,8
shuttle,12
regarding,22
sounds,14
hiring,8
conditions,16
logan,14
calling,79
planned,21
miles,162
she,251
worries,27
through,217
fixed,31
where,187
husband,32
view,20
knowing,12
btw,25
ual,12
unless,10
seat,273
connections,34
computer,46
tweets,16
apologies,17
surgery,8
ur,78
concern,22
fails,10
luv,38
record,38
ways,18
nightmare,21
opening,8
enough,71
routing,8
correctly,8
horrible,85
without,104
frustrated,70
across,16
bought,43
arrival,31
notice,23
attention,10
august,12
messed,14
comp,11
screen,13
deliver,19
killing,13
guitar,8
job,86
awards,8
traffic,16
flightation,12
group,47
cities,15
come,114
valid,9
jb,14
thank,601
jfk,202
blame,14
dates,11
figured,15
fit,16
useless,24
fliers,8
joke,51
taking,79
rescheduled,29
flightling,18
according,11
called,138
april,15
s,17
eta,9
disappointment,11
jh,11
wheels,8
flightled,498
thnx,13
comes,10
admirals,12
comment,9
among,10
co,1204
wtf,41
passenger,44
cc,21
ca,8
walk,10
60,23
cx,9
confirmed,39
dividend,29
cs,23
respect,12
actually,86
cxl,8
considering,12
late,422
yay,11
second,50
cares,10
west,12
informed,14
airlines,155
mark,9
willing,21
treat,37
737,10
certain,10
technical,8
waste,19
500,16
systems,17
engine,18
pic,10
received,87
inbound,12
am,441
offered,37
lga,61
reaching,9
crappy,14
sort,19
policy,76
shitty,10
puerto,9
atlanta,37
an,974
those,79
pilot,93
case,46
myself,33
disconnected,37
washington,14
these,66
runway,62
worried,10
cash,8
value,11
will,761
texas,14
policies,17
many,105
cancelled,1043
situation,38
frustrating,54
ive,13
ve,479
then,328
almost,94
delaying,14
rr,15
site,91
sleeping,13
helped,35
middle,35
good,294
stewardess,15
watched,14
partner,10
passbook,27
worry,14
bags,275
different,90
annoying,12
yo,14
notcool,8
generic,9
media,37
juan,14
cross,16
same,154
trip,210
member,54
ceo,50
badservice,20
party,23
reminder,8
gets,36
difficult,12
status,109
finish,10
http,1145
diego,19
promo,15
drink,25
ios,8
companion,41
cheers,13
running,34
phx,64
want,267
sooner,13
student,8
changing,34
totally,30
six,13
reference,8
keep,135
mech,9
off,292
center,24
mention,19
i,44
safely,16
no,1484
well,165
know,354
thought,47
costs,12
english,11
very,266
position,11
model,12
otherwise,13
meet,10
taxi,13
gates,24
less,66
being,202
money,94
accurate,10
hands,13
domestic,25
young,9
actions,8
arriving,27
sending,35
rooms,11
seats,206
touch,18
lauren,8
speed,12
announcement,14
death,13
wasn,89
30am,14
thinking,14
drunk,8
badcustomerservice,18
except,22
bullshit,8
blog,8
simple,13
lets,13
other,205
surprise,14
4,351
sweet,16
tuesday,38
match,22
details,38
real,61
wont,15
around,64
checking,48
fyi,19
february,13
gonna,35
early,98
while,90
were,273
five,16
mon,16
mom,30
desk,69
immediately,10
accepted,8
lady,25
forcing,9
like,425
lost,241
miami,52
5hrs,14
either,41
lose,44
become,14
works,31
page,28
trying,346
making,104
overbooked,17
seating,26
drop,26
rsw,14
confused,10
oscars,20
loaded,15
home,294
happens,41
faster,16
est,11
confirm,30
literally,29
avoid,14
whole,43
voice,9
does,183
exit,18
screwed,22
three,69
locate,9
platinum,34
process,48
welcome,18
this,1375
business,118
asap,42
seconds,8
journal,16
flyers,19
communicate,8
bathroom,9
dca,115
broken,69
usairwaysfail,26
although,13
prepared,10
play,14
on,3771
about,509
actual,21
boards,12
world,49
6am,9
of,2093
industry,9
favorite,20
side,15
carrier,11
airline,398
act,15
dulles,14
or,491
deplaned,8
unhappy,22
lands,8
keeps,29
communication,45
tag,23
due,238
doesnt,9
promise,15
frm,14
apologize,12
virginamerica,524
couldnt,8
happening,24
springs,10
your,1732
weight,11
log,11
her,191
area,30
aren,47
transfer,22
there,634
hey,70
lol,57
noticed,9
start,79
virgin,30
pa,10
low,14
lot,62
worst,240
biggest,9
yrs,8
truck,8
zzps5ywve2,1
buy,45
maintenance,53
hr,69
funds,15
brand,13
delayed,538
extended,9
delivery,19
hi,95
ended,17
automated,40
ha,13
memphis,12
eat,15
buying,9
he,173
count,20
pull,14
hire,19
made,205
customerservice,37
places,8
whether,8
wish,47
official,10
smooth,9
signed,9
placed,10
limit,10
dirty,10
suitcase,19
problem,108
piece,12
minutes,290
agree,8
728,19
expect,50
mechanics,12
gone,27
wifi,119
replying,9
600,9
int,11
ah,12
avgeek,21
moved,41
general,9
as,483
right,208
at,1487
file,22
our,695
ind,9
jblu,14
pit,15
girl,12
worse,62
fill,16
again,390
48,10
incredible,11
personnel,10
45,86
42,11
departs,13
40,76
mdw,16
field,8
book,180
5,298
hpn,8
sick,20
reimburse,11
you,4351
incredibly,16
contacting,14
ny,29
poor,86
requested,20
francisco,9
star,9
monday,52
separate,9
refunded,19
forgot,21
outlets,12
stay,63
push,13
chance,78
important,19
serious,18
else,58
friends,36
booked,177
kidding,22
calls,55
wife,84
starting,17
space,33
working,118
having,112
password,8
write,14
u,27
alright,9
ticketed,11
resolution,17
cancun,12
representative,18
